display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
RITTAL,seller,314865056071000,IDN,4,,MENARA BCA LT 50 JL. MH THAMRIN Blok 000 No.1 RT:000 RW:000 Kel.MENTENG Kec.MENTENG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10310,TIN,,,,,a0b73cb6-d7b5-4b93-8233-3b963f145b8e
PT. Jakarta Internasional Teknologi Servis,buyer,32888927011000,IDN,4,,Epiwalk Office Suite Lt. 5 Unit A531 Komp. Rasuna Epicentrum. Jl. HR. Rasuna Said Blok 0 No.0 RT:000 RW:000 Kel.KARET KUNINGAN Kec.SETIABUDI Kota/Kab.Jakarta Selatan DKI JAKARTA 12940,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Vektordaya Mekatrika,buyer,17557042038000,IDN,4,,Citarum Blok 0 No.9 RT:002 RW:001 Kel.Cideng Kec.Gambir Kota/Kab.Jakarta Pusat DKI Jakarta 10150,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Centrindo,buyer,13297015028000,IDN,4,,"Jl. BALIKPAPAN, Petojo Selatan Blok 0 No.31 RT:000 RW:000 Kel.- Kec.- Kota/Kab.- Jakarta Pusat 00000",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Jobs Db Indonesia,buyer,19577063058000,IDN,4,,PONDOK INDAH OFFICE TOWER 3 LT. 8 SUITE 802 JL. SULTAN ISKANDAR MUDA KAV. V-TA Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- JAKARTA SELATAN 00000,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Konexindo Unitama,buyer,23547292028000,IDN,4,,Jl. Tanjung Selor Blok - No.1B RT:000 RW:000 Kel.- Kec.- Kota/Kab.- DKI Jakarta 10150,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Tri Cita Aksata,buyer,27268655432000,IDN,4,,Caman Raya Blok 0 No.17M RT:000 RW:000 Kel.Jati Bening Kec.Pondok Gede Kota/Kab.Bekasi selatan Bekasi 17412,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Fedex Express International,buyer,29142445012000,IDN,4,,GEDUNG SOUTH QUARTER LT 12 TOWER C JL RADEN AJENG KARTINI KAV 8 Blok 0 No.0 RT:010 RW:004 Kel.CILANDAK BARAT Kec.CILANDAK Kota/Kab.JAKARTA SELATAN DKI Jakarta 12420,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Geodis Wilson Indonesia,buyer,21939426058000,IDN,4,,"Gedung Plaza City View LT. V, Jl. Kemang Timur Blok 0 No.22 RT:001 RW:008 Kel.Bangka Kec.Mampang Perapatan Kota/Kab.Jakarta selatan DKI Jakarta 12730",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Orion Nusantara,buyer,25204967403000,IDN,4,,MERCEDES BENZ Blok - No.- RT:002 RW:004 Kel.CICADAS Kec.GUNUNG PUTRI Kota/Kab.BOGOR JAWA BARAT 16964,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Intikom Berlian Mustika,buyer,13486113062000,IDN,4,,KUNINGAN BARAT II Blok - No.11 RT:003 RW:002 Kel.KUNINGAN BARAT Kec.MAMPANG PRAPATAN Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12710,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
"Persek Kanaka Puradiredja, Suhartono",buyer,19490242062000,IDN,4,,"THE ROYAL PALACE, JL. PROF. DR. SOEPOMO 178A - C29 Blok - No.- RT:000 RW:000 Kel.- Kec.- Kota/Kab.- - 00000",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
Kso.Sucofindo-Surveyor Indonesia,buyer,10612224093000,IDN,4,,GD. ADHI GRAHA LT. I JL. JEND. GATOT SUBROTO KAV 56 Blok 0 No.0 RT:000 RW:000 Kel.- Kec.KUNINGAN TIMUR Kota/Kab.Jakarta Selatan DKI Jakarta 00000,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
