display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT Silesia Flavours Indonesia,seller,769479395416000,IDN,4,,"JL. DAAN MOGOT KM, 21 PERGUDANGAN ERAPRIMA BLOK H, 18, PORIS GAGA BARU, BATUCEPER, KOTA TANGERANG, BANTEN, 15122",TIN,,,,,8da10eef-ea32-45c5-9b82-febbabbb5658
PT. Daesang Food Indonesia,buyer,10711463057000,IDN,4,,KAWASAN SURYACIPTA CITY OF INDUSTRY JL.SURYA UTAMA Blok 1-25B No.- RT:000 RW:000 Kel.KUTANEGARA Kec.CIAMPEL Kota/Kab.KARAWANG JAWA BARAT 41361,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Dolphin Food & Beverages Industry,buyer,10007524451000,IDN,4,,JL. RAYA INDUSTRI XIII Blok AE 4-7 No.000 RT:000 RW:000 Kel.BUNDER Kec.CIKUPA Kota/Kab.TANGERANG BANTEN 15710,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Actavis Indonesia,buyer,10005254052000,IDN,4,,Jalan Raya Bogor KM.28 Blok - No.- RT:000 RW:000 Kel.Pekayon Kec.Pasar Rebo Kota/Kab.Jakarta Timur DKI Jakarta 13710,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Birotika Semesta,buyer,13107743062000,IDN,4,,"MULIA BUSSINES PARK BLD F, JL. M.T. HARYONO KAV.58-60 Blok - No.- RT:000 RW:000 Kel.Pancoran Kec.Mampang Prapatan Kota/Kab.Jakarta Selatan DKI Jakarta 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Rentokil Indonesia,buyer,10001790058000,IDN,4,,"SOUTH QUARTER TOWER B, LT. 21 JL. R.A KARTINI KAV.8 Blok E-H No.- RT:010 RW:004 Kel.- Kec.- Kota/Kab.JAKARTA SELATAN DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Traktor Nusantara,buyer,13104831092000,IDN,4,,JL. PULOGADUNG Blok - No.32 RT:000 RW:000 Kel.- Kec.CAKUNG Kota/Kab.JAKARTA TIMUR DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Palmas Entraco,buyer,13140660075000,IDN,4,,JL. KH. SAMANHUDI Blok - No.85 RT:008 RW:006 Kel.PASAR BARU Kec.SAWAH BESAR Kota/Kab.JAKARTA PUSAT DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
CV. Tangguh Adi Perkasa,buyer,210139358407000,IDN,4,,JL. KH. AGUS SALIM Blok - No.53A RT:004 RW:008 Kel.- Kec.- Kota/Kab.BEKASI JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Trustway Transindo,buyer,30484158044000,IDN,4,,"RUKO CENTRAL 88 KEMAYORAN, JL. TREMBESI Blok F No.808 RT:000 RW:000 Kel.PADEMANGAN TIMUR Kec.PADEMANGAN Kota/Kab.JAKARTA UTARA DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Solusindo Corporindo Teknologi,buyer,27472596047000,IDN,4,,JL. KAPUK KAMAL RAYA NO.62E Blok - No.62 RT:000 RW:000 Kel.- Kec.- Kota/Kab.JAKARTA UTARA DKI JAKARTA 14470,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Antaran Sukses Express,buyer,26281469416000,IDN,4,,JL. RADEN FATAH Blok - No.10 RT:001 RW:001 Kel.- Kec.PANINNGILAN UTARA Kota/Kab.TANGERANG TANGERANG 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
