row_index,page,text,x0,y0,x1,y1
1,1,(PCS),381.85,413.40,401.63,421.40
1,1,IDR,496.23,413.40,509.60,421.40
1,1,IDR,432.96,419.91,446.33,427.91
1,1,Stop,266.60,437.03,282.48,445.03
1,1,Kontak,284.98,437.03,309.31,445.03
1,1,Multistandard,311.81,437.03,359.54,445.03
1,1,D,362.03,437.03,367.46,445.03
1,1,10,70.10,443.55,78.82,451.55
1,1,8536,109.76,443.55,127.20,451.55
1,1,70E7253,144.15,443.55,174.80,451.55
1,1,61,214.70,443.55,223.42,451.55
1,1,30,403.63,443.55,412.35,451.55
1,1,"218,785.41",423.38,443.55,463.09,451.55
1,1,"6,563,562.30",480.79,442.75,538.90,452.75
1,1,engan,266.60,450.06,288.33,458.06
1,1,USB,290.82,450.06,305.23,458.06
1,1,A+C,307.73,450.06,323.14,458.06
2,1,20,70.10,472.50,78.82,480.50
2,1,8536,109.76,472.50,127.20,480.50
2,1,70E8301TY,144.15,472.50,184.07,480.50
2,1,61,214.70,472.50,223.42,480.50
2,1,Sakelar,266.60,472.50,292.34,480.50
2,1,1,294.83,472.50,299.19,480.50
2,1,Tombol,301.69,472.50,327.98,480.50
2,1,Pintar,330.47,472.50,350.90,480.50
2,1,30,403.63,472.50,412.35,480.50
2,1,"212,878.29",423.38,472.50,463.09,480.50
2,1,"6,386,348.70",480.79,471.70,538.90,481.70
3,1,30,70.10,500.25,78.82,508.25
3,1,8536,109.76,500.25,127.20,508.25
3,1,70E8302TY,144.15,500.25,184.07,508.25
3,1,61,214.70,500.25,223.42,508.25
3,1,Sakelar,266.60,500.25,292.34,508.25
3,1,2,294.83,500.25,299.19,508.25
3,1,Tombol,301.69,500.25,327.98,508.25
3,1,Pintar,330.47,500.25,350.90,508.25
3,1,30,403.63,500.25,412.35,508.25
3,1,"250,985.86",423.38,500.25,463.09,508.25
3,1,"7,529,575.80",480.79,499.46,538.90,509.46
4,1,40,70.10,528.01,78.82,536.01
4,1,8536,109.76,528.01,127.20,536.01
4,1,70E8303TY,144.15,528.01,184.07,536.01
4,1,61,214.70,528.01,223.42,536.01
4,1,Sakelar,266.60,528.01,292.34,536.01
4,1,3,294.83,528.01,299.19,536.01
4,1,Tombol,301.69,528.01,327.98,536.01
4,1,Pintar,330.47,528.01,350.90,536.01
4,1,20,403.63,528.01,412.35,536.01
4,1,"278,789.28",423.38,528.01,463.09,536.01
4,1,"5,575,785.60",480.79,527.21,538.90,537.21
5,1,Sakelar,266.60,550.45,292.34,558.45
5,1,4,294.83,550.45,299.19,558.45
5,1,Tombol,301.69,550.45,327.98,558.45
5,1,Skenario,330.47,550.45,360.81,558.45
5,1,Pi,363.30,550.45,369.54,558.45
5,1,50,70.10,556.96,78.82,564.96
5,1,8536,109.76,556.96,127.20,564.96
5,1,70E8308TY,144.15,556.96,184.07,564.96
5,1,61,214.70,556.96,223.42,564.96
5,1,19,403.63,556.96,412.35,564.96
5,1,"280,565.86",423.38,556.96,463.09,564.96
5,1,"5,330,751.34",480.79,556.17,538.90,566.17
5,1,ntar,266.60,563.47,280.80,571.47
6,1,Sakelar,266.60,580.60,292.34,588.60
6,1,1,294.83,580.60,299.19,588.60
6,1,Tombol,301.69,580.60,327.98,588.60
6,1,Peredup,330.47,580.60,359.46,588.60
6,1,Pi,361.96,580.60,368.19,588.60
6,1,60,70.10,587.11,78.82,595.11
6,1,8536,109.76,587.11,127.20,595.11
6,1,70E8315TY,144.15,587.11,184.07,595.11
6,1,61,214.70,587.11,223.42,595.11
6,1,20,403.63,587.11,412.35,595.11
6,1,"378,277.57",423.38,587.11,463.09,595.11
6,1,"7,565,551.40",480.79,586.31,538.90,596.31
6,1,ntar,266.60,593.62,280.80,601.62
