index,page,anchor_y,no,hs_code,sku,code,qty,unit_price,amount,description
1,1,447.55,10,8536,70E725361,,30,218785.41,6563562.3,(PCS) Stop Kontak Multistandard D engan USB A+C
2,1,476.50,20,8536,70E8301TY61,,30,212878.29,6386348.7,Sakelar 1 Tombol Pintar
3,1,504.25,30,8536,70E8302TY61,,30,250985.86,7529575.8,Sakelar 2 Tombol Pintar
4,1,532.01,40,8536,70E8303TY61,,20,278789.28,5575785.6,Sakelar 3 Tombol Pintar
5,1,560.96,50,8536,70E8308TY61,,19,280565.86,5330751.34,Sakelar 4 Tombol Skenario Pi ntar
6,1,591.11,60,8536,70E8315TY61,,20,378277.57,7565551.4,Sakelar 1 Tombol Peredup Pi ntar
7,1,621.26,70,8536,70E8316TY61,,30,439214.14,13176424.2,Sakelar 2 Tombol Peredup Pi ntar
8,1,650.21,80,8536,301022,,50,14834.41,741720.5,Sakelar 2 Tombol 2 Arah
9,1,685.68,90,9032,N65E00019,10V,20,431130.72,8622614.4,Zigbee to 0-converter with Zigbee m odule
10,1,721.14,110,9405,N04240232,,96,25405.05,2438884.8,Duro KC1 ivory 30D anti-glare frame
11,1,750.09,120,9405,N04242056,KC1,48,87052.25,4178508.0,Duro LED-Module 9W4000K36D
12,2,69.95,130,9405,N66E00012,2 2,28,75504.5,2114126.0,Wires (L-N) Track-meters-BK
13,2,100.10,140,3926,6071050,,3750,2131.89,7994587.5,Inbow Dus
14,2,129.05,150,9405,N66001037,ack,10,162112.61,1621126.1,MT36 Recessed Magnetic Tr 1meterBK
15,2,158.00,160,9405,N66001038,ack,18,324225.23,5836054.14,MT36 Recessed Magnetic Tr 2meterBK
16,2,188.15,170,7326,45DH10060,,40,11991.89,479675.6,Inbowdus
17,2,217.11,180,8536,301687,,300,10948.15,3284445.0,Stop Kontak tipe Schuko
18,2,244.86,190,8536,661011G4D,,20,59870.63,1197412.6,Saklar 1-Tombol 1-Arah (GEM)
19,2,273.81,200,8536,661021G4D,,30,77369.91,2321097.3,Saklar 2-Tombol 1-Arah (GEM)
20,2,303.96,210,8536,661031G4D,,20,115921.62,2318432.4,Saklar 3-Tombol 1-Arah (GEM)
21,2,334.11,220,8536,72102261,,20,47079.28,941585.6,Sakelar 2 Tombol 2 Arah
22,2,363.07,230,8536,661012G4D,,20,65733.33,1314666.6,Saklar 1-Tombol 2-Arah (GEM)
23,2,392.02,240,8536,661022G4D,,20,86252.79,1725055.8,Saklar 2-Tombol 2-Arah (GEM)
24,2,422.17,250,8536,661687G4D,EM),30,58804.68,1764140.4,Stop Kontak Tipe Schuko (G
25,2,452.32,260,8536,66E7256G4D,,10,188583.6,1885836.0,Stop Kontak Schuko Dengan Tipe A+C (GEM)
26,2,482.47,270,8536,661012G4F,,10,65733.33,657333.3,Saklar 1-Tombol 2-Arah (GEM)
27,2,512.62,280,8536,661022G4F,,10,86252.79,862527.9,Saklar 2-Tombol 2-Arah (GEM)
28,2,542.77,290,8536,66E7256G4F,,10,188583.6,1885836.0,Stop Kontak Schuko Dengan Tipe A+C (GEM)
29,2,572.92,300,8536,72168761,,50,36686.31,1834315.5,Stop Kontak tipe Schuko
30,2,601.87,310,8538,660820,,44,5329.73,234508.12,Bingkai Sakelar 2
31,2,629.62,320,8538,660830,,26,6218.02,161668.52,Bingkai Sakelar 3
32,2,657.38,330,8538,660840,,22,7550.45,166109.9,Bingkai Sakelar 4
33,2,685.13,340,8538,6608206Q,,44,11991.89,527643.16,Bingkai Sakelar 2
34,2,712.89,350,8538,6608306Q,,26,12880.18,334884.68,Bingkai Sakelar 3
35,2,740.64,360,8538,6608406Q,,22,14212.61,312677.42,Bingkai Sakelar 4
36,2,768.40,370,7326,70061046,,120,11725.41,1407049.2,Bingkai untuk 1-tombol
37,3,68.75,380,7326,70061061,,480,11725.41,5628196.8,Bingkai saklar 1-warna putih
38,3,97.71,390,8536,301011,,100,7861.35,786135.0,Sakelar 1 Tombol 1 Arah
39,3,126.66,400,7326,70062061,,240,21141.26,5073902.4,Bingkai Saklar 2-warna Putih
40,3,154.41,410,7326,70063061,,160,30557.12,4889139.2,Bingkai saklar 3-warna putih
41,3,182.17,420,7326,70064061,,60,39972.97,2398378.2,Bingkai Saklar 4-warna Putih
42,3,209.92,430,7326,70065061,,40,49388.83,1975553.2,Bingkai saklar 5-warna putih
43,3,237.68,440,8536,70101161,,150,18387.57,2758135.5,Saklar 1-Tombol 1-Arah
44,3,265.43,450,8536,70102161,,200,32511.35,6502270.0,Saklar 2-Tombol 1-Arah
45,3,293.19,460,8536,70102261,,100,40950.09,4095009.0,Saklar 2-Tombol 2-Arah
46,3,320.94,470,8536,70102661,,20,39972.97,799459.4,Saklar 1-Tombol intermediate
47,3,349.89,480,8536,70168761,,500,29135.86,14567930.0,Stop Kontak tipe Schuko
48,3,378.85,490,8536,70108061,,200,80034.77,16006954.0,Stop Kontak Saklar Internasi onal 10A
49,3,407.80,500,8536,301021,,100,11658.78,1165878.0,Sakelar 2 Tombol 1 Arah
