id,description
1,1 Gang Flush Mounting Box
2,1 Gang Mounting Box
3,1 Gang Smart Curtain Switch Module(TY cloud)(Smoky Gr ey)
4,1 Gang Smart No-neutral Switch Module
5,1 Gang Telephone Outlet
6,1 Tombol Saklar Modul Smar t Non-netral(Smoky Grey)
7,120 Twin Floor Socket (alumi nium alloy(cid:0)
8,13A Plug
9,145 Floor Socket (aluminium alloy(cid:0)
10,16A Sakelar Kartu Akses RFI D
11,16A Sakelar Kartu Akses RFI D (Natural Champagne)
12,16A Sakelar Kartu Akses RFI D(Metal Black)
13,2 Gang 1 Way Switch (Metal) (Frosted Silver)
14,2 Gang Frame(Natural Cham pagne)
15,2 Gang(Metal Black)
16,2 Tombol Saklar Modul Smar t Non-netral(Smoky Grey)
17,2 Wires (L-N) Track-1 meter-BK
18,2 Wires (L-N) Track-2 meters-BK
19,3 Gang Frame(Natural Cham pagne)
20,3 Gang Smart No-neutral Switch
21,3 Gang Smart Scene Switch Module(TY cloud)(61-Smoky Grey)
22,3 Tombol Saklar Modul Smar t Non-netral(Smoky Grey)
23,4 Gang Sakelar Skenario Zig bee
24,4 Gang Sakelar Skenario Zig bee(Matt Champagne)
25,6 Gang Sakelar Skenario Zig bee
26,6 Gang Sakelar Skenario Zig bee(Matt Champagne)
27,65E-Distribution box-recessed-12modules
28,65E-Distribution box-recessed-4modules
29,65E-Distribution box-recessed-8modules
30,70-120V Tuning Switch 3 Wiring s(Smoky Grey)
31,86 Type Surface Mounting B ox
32,8mm end connector-single wiring
33,8mm middle connector
34,arah Dengan Indicator LED
35,Bingkai Sakelar 1
36,Bingkai Sakelar 1 (Matt Cha mpagne)
37,Bingkai Sakelar 1 (Smoky Gr ey)
38,Bingkai Sakelar 2
39,Bingkai Sakelar 2 (Platinum Grey)
40,Bingkai Sakelar 2 (Smoky Gr ey)
41,Bingkai Sakelar 3
42,Bingkai Sakelar 3 (Graphite Black)
43,Bingkai Sakelar 3 (Smoky Gr ey)
44,Bingkai Sakelar 4
45,Bingkai Sakelar 4 (Matt Cha mpagne)
46,Bingkai Sakelar 4 (Platinum Grey)
47,Bingkai Sakelar 4 (Smoky Gr ey)
48,Bingkai Sakelar 5
49,Bingkai Sakelar 5 (Platinum Grey)
50,Bingkai Sakelar 5 (Smoky Gr ey)
51,Bingkai saklar 1-warna putih
52,Bingkai saklar 1-warna Putih(Coffee Black)
53,Bingkai saklar 1-warna putih(Smoky Grey)
54,Bingkai Saklar 2 (Vertikal)
55,Bingkai Saklar 2-warna champagne
56,Bingkai Saklar 2-warna Putih
57,Bingkai Saklar 2-warna Putih(Graphite Black)
58,Bingkai Saklar 2-warna Putih(Matt Champagn e)
59,Bingkai Saklar 2-warna Putih(Smoky Grey)
60,Bingkai Saklar 3 (Vertikal)
61,Bingkai Saklar 3-warna champagne
62,Bingkai Saklar 3-warna Putih
63,Bingkai saklar 3-warna putih
64,Bingkai Saklar 3-warna Putih(Graphite Black)
65,Bingkai saklar 3-warna putih(Smoky Grey)
66,Bingkai Saklar 4 (Vertikal)
67,Bingkai Saklar 4-warna champagne
68,Bingkai Saklar 4-Warna Putih
69,Bingkai Saklar 4-warna Putih
70,Bingkai Saklar 4-warna Putih(Graphite Black)
71,Bingkai Saklar 4-Warna Putih(Matt Champagn e)
72,Bingkai Saklar 4-warna Putih(Smoky Grey)
73,Bingkai Saklar 5 (Vertikal)
74,Bingkai Saklar 5-warna Putih
75,Bingkai saklar 5-warna putih
76,Bingkai Saklar 5-warna Putih(Graphite Black)
77,Bingkai saklar 5-warna putih(Smoky Grey)
78,Bingkai Saklar champagne
79,Bingkai Untuk 1-tombol
80,Bingkai untuk 1-tombol
81,Bingkai Untuk 1-tombol (Graphite Black)
82,Bingkai untuk 1-tombol (Graphite Black)
83,Bingkai untuk 1-tombol (Matt Champagne)
84,blank plate(26-Graphite Black)
85,CH16 HV Strip 9W/M-50M 2835-120L 10mm 3000K
86,CH16 Strip Accessory Kit(Wit h EU plug)
87,CLL16 LED linear light 26W6 500K
88,CP20 LED Spotlight 5W3000 KRa80
89,CP20 LED Spotlight 5W4000 KRa80
90,CP20 LED Spotlight 7W3000 KRa80
91,CP20 LED Spotlight 7W4000 KRa80
92,CP36S BK Max15W360mAR7 5Ra90 3000K24D NoDriver
93,CP36S LED Spotlight BK 12W R75 3000K36D Ra90
94,CP36S LED Spotlight BK 7W R55 3000K36D Ra90
95,CP36S LED Spotlight BK 7W R55 4000K36D Ra90
96,CP36S LED Spotlight SR 12W R75 3000K24D Ra90
97,CP36S LED Spotlight SR 12W R75 3000K36D Ra90
98,CP36S LED Spotlight SR 24W R100 3000K24D Ra90
99,Deteksi Asap Alarm Pintar
100,Deteksi Gas Mudah Terbakar Pintar
101,Docking AC gateway mini (V RF)
102,Docking AC gateway(VRF)
103,Doorbell push button
104,Duro KC1 black 30D anti-glare frame
105,Duro KC1 double flat grid fra me
106,Duro KC1 ivory 10D anti-glare frame
107,Duro KC1 ivory 10D anti-glare square frame
108,Duro KC1 ivory 30D anti-glare frame
109,Duro KC1 oval frame
110,Duro KC1 round embedded frame
111,Duro KC1 single flat grid fra me
112,Duro KC1 triple flat grid fram e
113,Duro LED Panel light 36W 65 00K 300*1200
114,Duro LED Panel light 36W 65 00K 595*595
115,Duro LED-KC1 Module 12W3000K24D
116,Duro LED-KC1 Module 12W3000K36D
117,Duro LED-KC1 Module 12W4000K24D
118,Duro LED-KC1 Module 12W4000K36D
119,Duro LED-KC1 Module 15W4000K36D
120,Duro LED-KC1 Module 5W3000K24D
121,Duro LED-KC1 Module 5W4000K15D
122,Duro LED-KC1 Module 7W3000K15D
123,Duro LED-KC1 Module 7W3000K36D
124,Duro LED-KC1 Module 7W3000K60D
125,Duro LED-KC1 Module 7W4000K36D
126,Duro LED-KC1 Module 7W4000K60D
127,Duro LED-KC1 Module 9W3000K24D
128,Duro LED-KC1 Module 9W3000K36D
129,Duro LED-KC1 Module 9W4000K24D
130,Duro LED-KC1 Module 9W4000K36D
131,Duro LED-KC1 Module TRIAC 12W3000 K24D
132,Duro LED-KC1 Module TRIAC 12W3000 K36D
133,Duro LED-KC1 Module TRIAC 12W4000 K24D
134,Duro LED-KC1 Module TRIAC 12W4000 K36D
135,Duro LED-KC1 Module TRIAC 15W4000 K24D
136,Duro LED-KC1 Module TRIAC 7W3000K 24D
137,Duro LED-KC1 Module TRIAC 9W3000K 24D
138,Duro LED-KC1 Module TRIAC 9W3000K 36D
139,Duro LED-KC1 Module TRIAC 9W4000K 24D
140,Duro LED-KC1 Module TRIAC 9W4000K 36D
141,EV1 120W24V constant volta ge power supply
142,EV1 150W24V constant volta ge power supply
143,EV1 200W24V constant volta ge power supply IP67
144,EV1 300W24V constant volta ge power supply IP67
145,EV1 30W24V constant voltag e power supply
146,EV1 60W24V constant voltag e power supply
147,FL20 LED floodlight 100W65 00K
148,FL20 LED floodlight 10W400 0K
149,FL20 LED floodlight 200W30 00K
150,FL20 LED floodlight 200W65 00K
151,FL20 LED floodlight 20W650 0K
152,FL20 LED floodlight 300W30 00K
153,FL20 LED floodlight 300W65 00K
154,FL20 LED floodlight 30W300 0K
155,FL20 LED floodlight 30W400 0K
156,FL20 LED floodlight 50W300 0K
157,FL20 LED floodlight 50W650 0K
158,FL30 LED floodlight 100W65 00K
159,FL30 LED floodlight 30W650 0K
160,FL30 LED floodlight 50W650 0K
161,Floor Socket 13A BS & USB S ocket
162,Floor Socket Twin Euro-US Socket
163,Floor Socket Twin Universal Socket
164,Floor Socket with 2 Data Soc ket Cat.6
165,Floor Socket with HDMI & D ata (Cat.6) Socket
166,Floor Socket with Multi-Standard & 2-pin Socket
167,Floor Socket with Schuko
168,Floor Socket with Schuko Mo dule
169,HB30 LED Highbay 100W 65 00K 90D
170,HB32 LED Highbay 80W/120 W/150W 4000K/5000K/6500 K
171,Homepad Pro 10inch with Zi gBee&BLE Gateway
172,Inbow Dus
173,Inbowdus
174,KC1 shining black anti-glare metal frame
175,Kotak Pemasangan Inbow
176,Lampu Sensor Kaki 3000k
177,LED DriverCC 360mA30-42VDC/220-240V on-off HPF
178,LED DriverCC 700mA30-42VDC/220-240V Triac HPF
179,LED DriverCV 24V150W on-off
180,LED Emergency bulb A67 12 W6800K
181,LED Emergency bulb A67 7W 6800K
182,LED Emergency HPB Bulb T1 00 18W6500K
183,LED MR16 glass HV 7W 6500 K
184,LED T8 18W 6500K DE INDO
185,LED T8 HE 18W 6500K SE
186,LED(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0)(cid:0) (cid:0)(cid:0)1.2(cid:0)T8(cid:0)(cid:0) @1x1.2m T8 LED tube batte n fixture without shield
187,Linear Connector(L-N)-BK
188,LT30 24V constant voltage D river100W BK
189,LT30 I shape Power connect or BK Surface
190,LT30 L corner acc_Horizontal BK Surface
191,LT30 L corner acc_Vertical B K Surface
192,LT30 Surface Mount Track 0. 5meter BK
193,LT30 Surface Mount Track 1. 5meter BK
194,Modul Pengatur Suhu AC Pin tar
195,Modul Pengatur Suhu AC Pin tar(Graphite Black)
196,"Modul Pengatur Suhu Panas Lantai dan AC Terpusat (Sim on Smart, Modbus)(Diamond Grey)"
197,Modul Peredup Pintar Tunabl e CCT
198,Modul TV dan Stop Kontak D ata
199,Modul TV Dan Stop Kontak D ata(Graphite Black)
200,Modul TV dan Stop Kontak D ata(Smoky Grey)
201,Modul TV dan Stop Kontak Data Cat.6
202,Motion Sensor LED Bulb 6W 6500K
203,MT36 48V Adjust GridSpotlig ht12W4000K24D BK
