doc_id,description,hs_code,folder
1.pdf,Outlet Data (Metal Black),8536,1
1.pdf,Outlet TV & Data (Metal Blac k),8536,1
1.pdf,Outlet Telepon & Data (Meta l Black),8536,1
1.pdf,Stop Kontak Multi-standard Dan Stop Kontak 2 Pin(Metal Black),8536,1
1.pdf,Stop Kontak Multistandard D engan USB A+C(Metal Black),8536,1
1.pdf,16A Sakelar Kartu Akses RFI D(Metal Black),8536,1
1.pdf,Outlet Alat Cukur (Metal Blac k),8536,1
1.pdf,Sakelar 3 Tombol 2 Arah,8536,1
1.pdf,Sakelar 1 Tombol Intermedi ate(Smoky Grey),8536,1
1.pdf,Sakelar 3 Tombol 2 Arah (S moky Grey),8536,1
1.pdf,Bingkai saklar 1-warna putih(Smoky Grey),7326,1
1.pdf,Bingkai saklar 3-warna putih(Smoky Grey),7326,1
1.pdf,Bingkai Saklar 4-warna Putih(Smoky Grey),7326,1
1.pdf,Bingkai saklar 5-warna putih(Smoky Grey),7326,1
1.pdf,Saklar 1-Tombol 1-Arah (Smoky Grey),8536,1
1.pdf,Saklar 1-Tombol 2-Arah (Smoky Grey),8536,1
1.pdf,Saklar 2-Tombol 1-Arah (Smoky Grey),8536,1
1.pdf,Saklar 2-Tombol 2-Arah (Smoky Grey),8536,1
1.pdf,Sakelar 2 Tombol 1 Arah (S moky Grey),8536,1
1.pdf,Outlet TV (Smoky Grey),8536,1
1.pdf,Outlet Data Cat.6 RJ45 (Sm oky Grey),8536,1
1.pdf,Bingkai Untuk 1-tombol,7326,1
1.pdf,Sakelar 1 Tombol 2 Arah (Me tal Black),8536,1
1.pdf,Sakelar 1 Tombol Intermedi ate(Metal Black),8536,1
1.pdf,Sakelar 2 Tombol 1 Arah (Me tal Black),8536,1
1.pdf,Sakelar 2 Tombol 2 Arah (Me tal Black),8536,1
1.pdf,Sakelar 3 Tombol 1 Arah (Me tal Black),8536,1
1.pdf,Sakelar 3 Tombol 2 Arah (Me tal Black),8536,1
1.pdf,Sakelar 4 Tombol 1 Arah (Me tal Black),8536,1
1.pdf,Sakelar 2 Tombol 1 Arah,8536,1
