row_index,page,text,x0,y0,x1,y1
1,1,(PCS),381.85,429.58,401.63,437.58
1,1,IDR,496.23,429.58,509.60,437.58
1,1,IDR,432.96,436.09,446.33,444.09
1,1,10,70.10,458.53,78.82,466.53
1,1,8536,109.76,458.53,127.20,466.53
1,1,585218,144.15,458.53,170.31,466.53
1,1,60,214.70,458.53,223.42,466.53
1,1,Outlet,266.60,458.53,288.09,466.53
1,1,Data,290.58,458.53,307.06,466.53
1,1,(Metal,309.56,458.53,331.67,466.53
1,1,Black),334.17,458.53,355.62,466.53
1,1,50,403.63,458.53,412.35,466.53
1,1,"33,648.65",427.74,458.53,463.09,466.53
1,1,"1,682,432.50",480.79,457.74,538.90,467.74
2,1,Outlet,266.60,480.97,288.09,488.97
2,1,TV,290.58,480.97,300.02,488.97
2,1,&,302.51,480.97,307.90,488.97
2,1,Data,310.39,480.97,326.87,488.97
2,1,(Metal,329.37,480.97,351.48,488.97
2,1,Blac,353.98,480.97,368.39,488.97
2,1,20,70.10,487.49,78.82,495.49
2,1,8536,109.76,487.49,127.20,495.49
2,1,585302,144.15,487.49,170.31,495.49
2,1,60,214.70,487.49,223.42,495.49
2,1,10,403.63,487.49,412.35,495.49
2,1,"52,702.70",427.74,487.49,463.09,495.49
2,1,"527,027.00",489.26,486.69,538.90,496.69
2,1,k),266.60,494.00,273.64,502.00
3,1,Outlet,266.60,511.12,288.09,519.12
3,1,Telepon,290.58,511.12,318.70,519.12
3,1,&,321.19,511.12,326.58,519.12
3,1,Data,329.07,511.12,345.55,519.12
3,1,(Meta,348.05,511.12,368.34,519.12
3,1,30,70.10,517.64,78.82,525.64
3,1,8536,109.76,517.64,127.20,525.64
3,1,585229,144.15,517.64,170.31,525.64
3,1,60,214.70,517.64,223.42,525.64
3,1,10,403.63,517.64,412.35,525.64
3,1,"52,702.70",427.74,517.64,463.09,525.64
3,1,"527,027.00",489.26,516.84,538.90,526.84
3,1,l,266.60,524.15,268.42,532.15
3,1,Black),270.92,524.15,292.38,532.15
4,1,Stop,266.60,541.27,282.48,549.27
4,1,Kontak,284.98,541.27,309.31,549.27
4,1,Multi-,311.81,541.27,331.65,549.27
4,1,40,70.10,554.30,78.82,562.30
4,1,8536,109.76,554.30,127.20,562.30
4,1,581080,144.15,554.30,170.31,562.30
4,1,60,214.70,554.30,223.42,562.30
4,1,standard,266.60,554.30,297.39,562.30
4,1,Dan,299.89,554.30,313.96,562.30
4,1,Stop,316.46,554.30,332.34,562.30
4,1,Kontak,334.83,554.30,359.17,562.30
4,1,2,361.66,554.30,366.02,562.30
4,1,100,399.27,554.30,412.35,562.30
4,1,"33,648.65",427.74,554.30,463.09,562.30
4,1,"3,364,865.00",480.79,553.50,538.90,563.50
4,1,Pin(Metal,266.60,567.32,299.40,575.32
4,1,Black),301.90,567.32,323.35,575.32
5,1,Stop,266.60,584.45,282.48,592.45
5,1,Kontak,284.98,584.45,309.31,592.45
5,1,Multistandard,311.81,584.45,359.54,592.45
5,1,D,362.03,584.45,367.46,592.45
5,1,50,70.10,590.96,78.82,598.96
5,1,8536,109.76,590.96,127.20,598.96
5,1,58E7253,144.15,590.96,174.80,598.96
5,1,60,214.70,590.96,223.42,598.96
5,1,40,403.63,590.96,412.35,598.96
5,1,"137,837.84",423.38,590.96,463.09,598.96
5,1,"5,513,513.60",480.79,590.16,538.90,600.16
5,1,engan,266.60,597.47,288.33,605.47
5,1,USB,290.82,597.47,305.23,605.47
5,1,A+C(Metal,307.73,597.47,345.25,605.47
5,1,Black),347.74,597.47,369.20,605.47
6,1,16A,266.60,614.60,280.11,622.60
6,1,Sakelar,282.61,614.60,308.34,622.60
6,1,Kartu,310.84,614.60,329.74,622.60
6,1,Akses,332.23,614.60,352.35,622.60
6,1,RFI,354.85,614.60,366.96,622.60
6,1,60,70.10,621.11,78.82,629.11
6,1,8536,109.76,621.11,127.20,629.11
6,1,58E602,144.15,621.11,170.44,629.11
6,1,60,214.70,621.11,223.42,629.11
6,1,6,407.99,621.11,412.35,629.11
6,1,"166,216.22",423.38,621.11,463.09,629.11
6,1,"997,297.32",489.26,620.31,538.90,630.31
6,1,D(Metal,266.60,627.62,294.14,635.62
6,1,Black),296.63,627.62,318.09,635.62
7,1,Outlet,266.60,644.75,288.09,652.75
7,1,Alat,290.58,644.75,304.06,652.75
7,1,Cukur,306.56,644.75,327.14,652.75
7,1,(Metal,329.63,644.75,351.74,652.75
7,1,Blac,354.24,644.75,368.66,652.75
7,1,70,70.10,651.26,78.82,659.26
7,1,8536,109.76,651.26,127.20,659.26
7,1,58E651,144.15,651.26,170.44,659.26
7,1,60,214.70,651.26,223.42,659.26
7,1,6,407.99,651.26,412.35,659.26
7,1,"145,945.95",423.38,651.26,463.09,659.26
7,1,"875,675.70",489.26,650.46,538.90,660.46
7,1,k),266.60,657.77,273.64,665.77
8,1,80,70.10,680.21,78.82,688.21
8,1,8536,109.76,680.21,127.20,688.21
8,1,721032,144.15,680.21,170.31,688.21
8,1,Sakelar,266.60,680.21,292.34,688.21
8,1,3,294.83,680.21,299.19,688.21
8,1,Tombol,301.69,680.21,327.98,688.21
8,1,2,330.47,680.21,334.83,688.21
8,1,Arah,337.33,680.21,353.65,688.21
8,1,8,407.99,680.21,412.35,688.21
8,1,"44,229.73",427.74,680.21,463.09,688.21
8,1,"353,837.84",489.26,679.41,538.90,689.41
9,1,Sakelar,266.60,702.65,292.34,710.65
9,1,1,294.83,702.65,299.19,710.65
9,1,Tombol,301.69,702.65,327.98,710.65
9,1,Intermedi,332.97,702.65,367.33,710.65
9,1,90,70.10,709.16,78.82,717.16
9,1,8536,109.76,709.16,127.20,717.16
9,1,301026,144.15,709.16,170.31,717.16
9,1,61,214.70,709.16,223.42,717.16
9,1,80,403.63,709.16,412.35,717.16
9,1,"37,297.30",427.74,709.16,463.09,717.16
9,1,"2,983,784.00",480.79,708.37,538.90,718.37
9,1,ate(Smoky,266.60,715.68,304.20,723.68
9,1,Grey),306.70,715.68,326.16,723.68
10,1,Sakelar,266.60,732.80,292.34,740.80
10,1,3,294.83,732.80,299.19,740.80
10,1,Tombol,301.69,732.80,327.98,740.80
10,1,2,330.47,732.80,334.83,740.80
10,1,Arah,337.33,732.80,353.65,740.80
10,1,(S,356.14,732.80,363.66,740.80
10,1,100,67.92,739.31,81.00,747.31
10,1,8536,109.76,739.31,127.20,747.31
10,1,721032,144.15,739.31,170.31,747.31
10,1,61,214.70,739.31,223.42,747.31
10,1,8,407.99,739.31,412.35,747.31
10,1,"67,945.95",427.74,739.31,463.09,747.31
10,1,"543,567.60",489.26,738.52,538.90,748.52
10,1,moky,266.60,745.82,285.62,753.82
10,1,Grey),288.11,745.82,307.58,753.82
11,1,Bingkai,266.60,762.95,292.01,770.95
11,1,saklar,294.50,762.95,315.14,770.95
11,1,1-,320.14,762.95,327.40,770.95
11,1,110,67.92,769.46,81.00,777.46
11,1,7326,109.76,769.46,127.20,777.46
11,1,700610,144.15,769.46,170.31,777.46
11,1,61,214.70,769.46,223.42,777.46
11,1,"1,200",392.50,769.46,412.36,777.46
11,1,"10,702.70",427.74,769.46,463.09,777.46
11,1,"12,843,240.00",475.34,768.67,538.90,778.67
11,1,warna,269.10,775.97,290.75,783.97
11,1,putih(Smoky,293.25,775.97,337.60,783.97
11,1,Grey),340.10,775.97,359.56,783.97
12,2,Bingkai,266.60,89.59,292.01,97.59
