index,page,anchor_y,no,hs_code,sku,code,qty,unit_price,amount,description
1,1,462.53,10,8536,585218,60,50,33648.65,1682432.5,Outlet Data (Metal Black)
2,1,491.49,20,8536,585302,60,10,52702.7,527027.0,Outlet TV & Data (Metal Black)
3,1,521.64,30,8536,585229,60,10,52702.7,527027.0,Outlet Telepon & Data (Metal Black)
4,1,558.30,40,8536,581080,60,100,33648.65,3364865.0,Stop Kontak Multi-standard Dan Stop Kontak 2 Pin (Metal Black)
5,1,594.96,50,8536,58E7253,60,40,137837.84,5513513.6,Stop Kontak Multistandard Dengan USB A+C (Metal Black)
6,1,625.11,60,8536,58E602,60,6,166216.22,997297.32,16A Sakelar Kartu Akses RFI D (Metal Black)
7,1,655.26,70,8536,58E651,60,6,145945.95,875675.7,Outlet Alat Cukur (Metal Black)
8,1,684.21,80,8536,721032,,8,44229.73,353837.84,Sakelar 3 Tombol 2 Arah
9,1,713.16,90,8536,301026,61,80,37297.3,2983784.0,Sakelar 1 Tombol Intermedi ate (Smoky Grey)
10,1,743.31,100,8536,721032,61,8,67945.95,543567.6,Sakelar 3 Tombol 2 Arah (Smoky Grey)
11,1,773.46,110,7326,700610,61,1,10702.7,12843240.0,Bingkai saklar 1-warna putih (Smoky Grey)
12,2,100.10,130,7326,700630,61,400,27891.89,11156756.0,Bingkai saklar 3-warna putih (Smoky Grey)
13,2,130.25,140,7326,700640,61,42,36486.49,1532432.58,Bingkai Saklar 4-warna Putih (Smoky Grey)
14,2,160.40,150,7326,700650,61,24,45081.08,1081945.92,Bingkai saklar 5-warna putih (Smoky Grey)
15,2,190.55,160,8536,701011,61,200,16783.78,3356756.0,Saklar 1-Tombol 1-Arah (Smoky Grey)
16,2,220.70,170,8536,701012,61,100,21891.89,2189189.0,Saklar 1-Tombol 2-Arah (Smoky Grey)
17,2,250.85,180,8536,701021,61,200,29675.68,5935136.0,Saklar 2-Tombol 1-Arah (Smoky Grey)
18,2,281.00,190,8536,701022,61,100,37378.38,3737838.0,Saklar 2-Tombol 2-Arah (Smoky Grey)
19,2,311.15,200,8536,301021,61,2,17533.78,35067560.0,Sakelar 2 Tombol 1 Arah (Smoky Grey)
20,2,340.10,210,8536,705111,61,100,89351.35,8935135.0,Outlet TV (Smoky Grey)
21,2,369.05,220,8536,705218,61,100,110837.84,11083784.0,Outlet Data Cat.6 RJ45 (Smoky Grey)
