hs_code,level,hs2,hs4,hs6,hs8,hs10,english_description,indonesian_description
000000,hs6,00,0000,000000,,,Goods,Barang
000000,hs6,00,0000,000000,,,Services,Jasa
010000,hs6,01,0100,010000,,,Construction Services,Jasa Kontruksi
010000,hs6,01,0100,010000,,,Live Animals,Binatang hidup
010100,hs6,01,0101,010100,,,General Construction Services for Buildings,Jasa Konstruksi Umum Untuk Bangunan
010100,hs6,01,0101,010100,,,"Live horses, asses, mules and hinnies","Kuda, keledai, bagal dan hinnie, hidup"
010101,hs6,01,0101,010101,,,General construction services for residential buildings,Jasa konstruksi umum untuk bangunan tempat tinggal
010102,hs6,01,0101,010102,,,General construction services for non-residential buildings,Jasa konstruksi umum untuk bangunan bukan tempat tinggal
010200,hs6,01,0102,010200,,,General Construction Services for Civil Engineering Works,Jasa Konstruksi Umum Untuk Pekerjaan Teknik Sipil
010200,hs6,01,0102,010200,,,Live bovine animals,Binatang hidup jenis lembu
010201,hs6,01,0102,010201,,,"General construction services for expressways except overpasses, highways, roads, railways and airstrips","Jasa konstruksi umum untuk jalan bebas hambatan kecuali jalan layang, jalan raya, jalan, jalan kereta api dan landasan pesawat terbang"
010202,hs6,01,0102,010202,,,"General construction services of bridges, overpasses and tunnels","Jasa konstruksi umum jembatan, jalan layang dan terowongan"
010203,hs6,01,0102,010203,,,"General construction services for ports, canals, dams, irrigation water structures and other water structures","Jasa konstruksi umum pelabuhan, terusan, bendungan, bangunan air irigasi dan bangunan air lainnya"
010204,hs6,01,0102,010204,,,"General construction services of long-distance pipelines, communication lines and electricity cables","Jasa konstruksi umum pipa saluran jarak jauh, saluran komunikasi dan listrik kabel"
010205,hs6,01,0102,010205,,,General construction services for local pipelines and cables as well as related works,Jasa konstruksi umum pipa saluran dan kabel lokal serta pekerjaan ybdi
010206,hs6,01,0102,010206,,,Mining general construction services and industrial buildings,Jasa konstruksi umum pertambangan dan bangunan industri
010207,hs6,01,0102,010207,,,General construction services for outdoor sports and recreation facilities,Jasa konstruksi umum fasilitas olah raga dan rekreasi di ruang terbuka
010209,hs6,01,0102,010209,,,General construction services for other civil engineering works,Jasa konstruksi umum pekerjaan teknik sipil lainnya
010300,hs6,01,0103,010300,,,Live swine,Babi hidup
010300,hs6,01,0103,010300,,,Site Preparation Service,Jasa Penyiapan Tempat
010301,hs6,01,0103,010301,,,Demolition service,Jasa pembongkaran
010302,hs6,01,0103,010302,,,Building and cleaning services,Jasa pembentukan dan pembersihan tempat
010303,hs6,01,0103,010303,,,Excavation and earthmoving services,Jasa penggalian dan pemindahan tanah
010304,hs6,01,0103,010304,,,Clean water well drilling and septic system installation,Jasa pengeboran sumur air bersih dan pemasangan sistem septik
010400,hs6,01,0104,010400,,,Live sheep and goat,"Biri-biri dan kambing, hidup"
010400,hs6,01,0104,010400,,,Prefabricated Construction Assembly and Construction,Perakitan Dan Pembangunan Konstruksi Prafabrikan
010401,hs6,01,0104,010401,,,Prefabricated Construction Assembly and Construction,Perakitan Dan Pembangunan Konstruksi Prafabrikan
010500,hs6,01,0105,010500,,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","Unggas hidup, yaitu ayam dari spesies Gallus domesticus, bebek, angsa, kalkun dan ayam guinea"
010500,hs6,01,0105,010500,,,Special Skills Construction Services,Jasa Konstruksi Ketrampilan Khusus
010501,hs6,01,0105,010501,,,Pile driving services into the ground and foundation,Jasa pemancangan tiang ke dalam tanah dan pondasi
010502,hs6,01,0105,010502,,,Construction frame installation services,Jasa pemasangan kerangka konstruksi
010503,hs6,01,0105,010503,,,Roofing and waterproofing services,Jasa pemasangan atap dan pembuatan tahan air
010504,hs6,01,0105,010504,,,Concrete installation services,Jasa pemasangan beton
010505,hs6,01,0105,010505,,,Steel structure construction services,Jasa pembangunan struktur baja
010506,hs6,01,0105,010506,,,builder services,Jasa tukang bangunan
010507,hs6,01,0105,010507,,,Scaffolding Services,Jasa Perancah
010509,hs6,01,0105,010509,,,Other special skills construction services,Jasa konstruksi ketrampilan khusus lainnya
010600,hs6,01,0106,010600,,,Installation services,Jasa Instalasi
010600,hs6,01,0106,010600,,,Other live animals,Binatang hidup lainnya
010601,hs6,01,0106,010601,,,Electrical installation services,Jasa instalasi listrik
010602,hs6,01,0106,010602,,,Water pipe installation services plumbing and channel installation,Jasa instalasi pipa air plumbing dan pemasangan saluran
010603,hs6,01,0106,010603,,,Heating equipment installation services,Jasa instalasi peralatan pemanas ruangan
010604,hs6,01,0106,010604,,,Gas equipment installation services,Jasa instalasi perlengkapan gas
